technology,category_applicability,account,item,scaling_parameter,unit,exponent,range_min,range_max,note
NGCC,6,11.2,Station Service Equipment,Auxiliary load,kW,0.64,13500,44000,
NGCC,6,11.3,Switchgear & Motor Control,Auxiliary load,kW,0.64,13500,44000,
NGCC,6,11.4,Conduit & Cable Tray,Auxiliary load,kW,0.64,13500,44000,
NGCC,6,11.5,Wire & Cable,Auxiliary load,kW,0.64,13500,44000,
NGCC,6,11.6,Protective Equipment,Auxiliary load,kW,1.1,13500,44000,Exponent > 1: diseconomic in scale.
NGCC,6,11.7,Standby Equipment,Total plant gross power,kW,0.48,689800,740100,
NGCC,6,11.8,Main Power Transformers,STG output + CTG output,MVA,1.36,520,580,Exponent > 1: diseconomic in scale.
NGCC,6,11.9,Electrical Foundations,Total plant gross power,kW,0.7,689800,740100,
NGCC,6,12.1,NGCC Control Equipment,Auxiliary load,kW,0.13,13500,44000,
NGCC,6,12.2,Combustion Turbine Control Equipment,Auxiliary load,kW,0.0,13500,44000,
NGCC,6,12.3,Steam Turbine Control Equipment,Auxiliary load,kW,0.13,13500,44000,
NGCC,6,12.4,Other Major Component Control Equipment,Auxiliary load,kW,0.16,13500,44000,
NGCC,6,12.5,Signal Processing Equipment,Auxiliary load,kW,0.13,13500,44000,
NGCC,6,12.6,"Control Boards, Panels & Racks",Auxiliary load,kW,0.16,13500,44000,
NGCC,6,12.7,Distributed Control System Equipment,Auxiliary load,kW,0.16,13500,44000,
NGCC,6,12.8,Instrument Wiring & Tubing,Auxiliary load,kW,0.16,13500,44000,
NGCC,6,12.9,Other I&C Equipment,Auxiliary load,kW,0.16,13500,44000,
NGCC,6,13.1,Site Preparation,Total plant gross power,kW,0.46,689800,740100,
NGCC,6,13.2,Site Improvements,Total plant gross power,kW,0.46,689800,740100,
NGCC,6,13.3,Site Facilities,Total plant gross power,kW,0.46,689800,740100,
NGCC,6,14.1,Combustion Turbine Area,Gas turbine power,kW,0.0,0,0,Fixed cost.
NGCC,6,14.3,Steam Turbine Building,Steam turbine gross power,kW,0.6,212500,263000,
NGCC,6,14.4,Administration Building,Total plant gross power,kW,0.35,689800,740100,
NGCC,6,14.5,Circulation Water Pumphouse,Circulating water flow rate,gpm,0.82,135700,220800,
NGCC,6,14.6,Water Treatment Buildings,Raw water withdrawal,gpm,0.66,2900,4700,
NGCC,6,14.7,Machine Shop,Total plant gross power,kW,0.36,689800,740100,
NGCC,6,14.8,Warehouse,Total plant gross power,kW,0.34,689800,740100,
NGCC,6,14.9,Other Buildings & Structures,Total plant gross power,kW,0.25,689800,740100,
NGCC,6,14.10,Waste Treating Building & Structures,Total plant gross power,kW,0.34,689800,740100,
